date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2019-08-24,17.16,3.31,450,"1989-08-17 2018-08-31",88.83,6.28,450,"1989-08-17 2018-08-31",25.81,3.4,450,"1989-08-17 2018-08-31",23.73,7.74,450,"1989-08-17 2018-08-31",11.91,3.63,450,"1989-08-17 2018-08-31",50.69,11.43,450,"1989-08-17 2018-08-31",15.25,3.13,450,"1989-08-17 2018-08-31",3.3,3.65,450,"1989-08-17 2018-08-31",1.7,5.09,448,"1989-08-17 2018-08-31",1.7,5.09,448,"1989-08-17 2018-08-31",0,0,448,"1989-08-17 2018-08-31",0,0,360,"1989-08-17 2012-08-31",,,,
2019-08-23,17.24,3.3,450,"1989-08-16 2018-08-30",88.91,6.29,450,"1989-08-16 2018-08-30",25.87,3.37,450,"1989-08-16 2018-08-30",23.74,7.83,450,"1989-08-16 2018-08-30",12.03,3.59,450,"1989-08-16 2018-08-30",50.9,11.37,450,"1989-08-16 2018-08-30",15.36,3.09,450,"1989-08-16 2018-08-30",3.28,3.61,450,"1989-08-16 2018-08-30",1.74,5.08,448,"1989-08-16 2018-08-30",1.74,5.08,448,"1989-08-16 2018-08-30",0,0,448,"1989-08-16 2018-08-30",0,0,360,"1989-08-16 2012-08-30",,,,
2019-08-22,17.31,3.35,450,"1989-08-15 2018-08-29",88.99,6.43,450,"1989-08-15 2018-08-29",25.97,3.34,450,"1989-08-15 2018-08-29",23.91,8.03,450,"1989-08-15 2018-08-29",12.12,3.61,450,"1989-08-15 2018-08-29",50.93,11.37,450,"1989-08-15 2018-08-29",15.45,3.09,450,"1989-08-15 2018-08-29",3.27,3.64,450,"1989-08-15 2018-08-29",1.86,5.22,448,"1989-08-15 2018-08-29",1.86,5.22,448,"1989-08-15 2018-08-29",0,0,448,"1989-08-15 2018-08-29",0,0,360,"1989-08-15 2012-08-29",,,,
2019-08-21,17.34,3.38,450,"1989-08-14 2018-08-28",89.04,6.48,450,"1989-08-14 2018-08-28",25.97,3.33,450,"1989-08-14 2018-08-28",23.78,8.03,450,"1989-08-14 2018-08-28",12.11,3.65,450,"1989-08-14 2018-08-28",50.84,11.54,450,"1989-08-14 2018-08-28",15.47,3.12,450,"1989-08-14 2018-08-28",3.25,3.67,450,"1989-08-14 2018-08-28",1.92,5.42,448,"1989-08-14 2018-08-28",1.92,5.42,448,"1989-08-14 2018-08-28",0,0,448,"1989-08-14 2018-08-28",0,0,360,"1989-08-14 2012-08-28",,,,
2019-08-20,17.32,3.36,450,"1989-08-13 2018-08-27",88.94,6.59,450,"1989-08-13 2018-08-27",25.99,3.36,450,"1989-08-13 2018-08-27",23.55,7.96,450,"1989-08-13 2018-08-27",12.13,3.68,450,"1989-08-13 2018-08-27",50.77,11.78,450,"1989-08-13 2018-08-27",15.48,3.14,450,"1989-08-13 2018-08-27",3.21,3.65,450,"1989-08-13 2018-08-27",1.96,5.34,448,"1989-08-13 2018-08-27",1.96,5.34,448,"1989-08-13 2018-08-27",0,0,448,"1989-08-13 2018-08-27",0,0,360,"1989-08-13 2012-08-27",,,,
2019-08-19,17.3,3.34,450,"1989-08-12 2018-08-26",88.86,6.61,450,"1989-08-12 2018-08-26",26.02,3.35,450,"1989-08-12 2018-08-26",23.58,8.04,450,"1989-08-12 2018-08-26",12.1,3.63,450,"1989-08-12 2018-08-26",50.65,11.53,450,"1989-08-12 2018-08-26",15.5,3.14,450,"1989-08-12 2018-08-26",3.2,3.68,450,"1989-08-12 2018-08-26",1.9,5.29,448,"1989-08-12 2018-08-26",1.9,5.29,448,"1989-08-12 2018-08-26",0,0,448,"1989-08-12 2018-08-26",0,0,360,"1989-08-12 2012-08-26",,,,
2019-08-18,17.26,3.29,450,"1989-08-11 2018-08-25",88.78,6.7,450,"1989-08-11 2018-08-25",25.98,3.33,450,"1989-08-11 2018-08-25",23.71,8.11,450,"1989-08-11 2018-08-25",12.08,3.62,450,"1989-08-11 2018-08-25",50.59,11.63,450,"1989-08-11 2018-08-25",15.5,3.12,450,"1989-08-11 2018-08-25",3.24,3.7,450,"1989-08-11 2018-08-25",2.06,5.59,448,"1989-08-11 2018-08-25",2.06,5.59,448,"1989-08-11 2018-08-25",0,0,448,"1989-08-11 2018-08-25",0,0,360,"1989-08-11 2012-08-25",,,,
2019-08-17,17.31,3.26,450,"1989-08-10 2018-08-24",88.71,6.9,450,"1989-08-10 2018-08-24",26.01,3.37,450,"1989-08-10 2018-08-24",23.99,8.38,450,"1989-08-10 2018-08-24",12.11,3.6,450,"1989-08-10 2018-08-24",50.63,11.62,450,"1989-08-10 2018-08-24",15.55,3.08,450,"1989-08-10 2018-08-24",3.16,3.66,450,"1989-08-10 2018-08-24",2.21,5.85,448,"1989-08-10 2018-08-24",2.21,5.85,448,"1989-08-10 2018-08-24",0,0,448,"1989-08-10 2018-08-24",0,0,360,"1989-08-10 2012-08-24",,,,
2019-08-16,17.35,3.28,450,"1989-08-09 2018-08-23",88.53,7.12,450,"1989-08-09 2018-08-23",26.07,3.4,450,"1989-08-09 2018-08-23",24.06,8.31,450,"1989-08-09 2018-08-23",12.19,3.62,450,"1989-08-09 2018-08-23",50.86,11.92,450,"1989-08-09 2018-08-23",15.62,3.1,450,"1989-08-09 2018-08-23",3.14,3.67,450,"1989-08-09 2018-08-23",2.39,6.24,449,"1989-08-09 2018-08-23",2.39,6.24,449,"1989-08-09 2018-08-23",0,0,449,"1989-08-09 2018-08-23",0,0,360,"1989-08-09 2012-08-23",,,,
2019-08-15,17.39,3.32,450,"1989-08-08 2018-08-22",88.45,7.2,450,"1989-08-08 2018-08-22",26.15,3.45,450,"1989-08-08 2018-08-22",24.1,8.48,450,"1989-08-08 2018-08-22",12.25,3.62,450,"1989-08-08 2018-08-22",50.81,11.96,450,"1989-08-08 2018-08-22",15.71,3.13,450,"1989-08-08 2018-08-22",3.06,3.61,450,"1989-08-08 2018-08-22",2.53,6.53,449,"1989-08-08 2018-08-22",2.53,6.53,449,"1989-08-08 2018-08-22",0,0,449,"1989-08-08 2018-08-22",0,0,360,"1989-08-08 2012-08-22",,,,
